attach,https://trinity.iota-tangle.io:14265 score: 71.5377688407898 scoreNorm: 0.6304110641943719
3542,0
4051,1
1377,2
2300,3
2673,4
1863,5
1607,6
1934,7
3617,8
3484,9
3072,10
2126,11
1707,12
1561,13
5927,14
2407,15
4031,16
2488,17
1633,18
1495,19
2791,20
1204,21
1577,22
2340,23
1220,24
1950,25
4353,26
1513,27
1953,28
3654,29
2065,30
2847,31
1177,32
1067,33
1487,34
1934,35
4367,36
1014,37
1121,38
3763,39
1336,40
939,41
1116,42
2839,43
2484,44
