attach,https://iota1.chain.garden:443 score: 12.220561404715749 scoreNorm: 0.09023412168375736
47288,0
27340,1
9668,2
12226,3
17921,4
11070,5
24370,6
16770,7
6819,8
14970,9
12771,10
6181,11
8385,12
15784,13
31005,14
52298,15
31277,16
7293,17
14998,18
34176,19
34380,20
3494,21
122002,22
41232,23
41983,24
22528,25
22941,26
10899,27
8712,28
17123,29
15423,30
41312,31
69932,32
43776,33
51096,34
28673,35
13078,36
9092,37
54916,38
50422,39
20622,40
33738,41
36773,42
22289,43
5669,44
