attach,http://iotawallet.tobg.com.de:14265 score: 19.816639736294746 scoreNorm: 0.14632200781201293
26751,0
17524,1
2059,2
2882,3
10886,4
5506,5
21761,6
15610,7
25296,8
17059,9
33769,10
22241,11
12424,12
6465,13
36884,14
6978,15
11093,16
8121,17
44506,18
17791,19
24190,20
10101,21
11257,22
11643,23
8172,24
44549,25
23238,26
18350,27
7723,28
14925,29
12303,30
4333,31
32598,32
19182,33
19803,34
1840,35
7506,36
16056,37
7804,38
12172,39
16600,40
8385,41
7462,42
29867,43
24484,44
