attach,https://node02.gubiota.ch:443 score: 39.59256308782427 scoreNorm: 0.1668206069098844
7349,21658,0
17321,68389,1
471,18270,2
4069,9302,3
844,2498,4
-1,-1,5
82226,29085,6
31141,57933,7
29650,88799,8
-1,-1,9
110830,28947,10
75993,3919,11
4706,19837,12
952,33106,13
1393,20985,14
1256,5784,15
10265,28469,16
-1,-1,17
-1,-1,18
67138,96396,19
40562,83777,20
58611,24998,21
6396,12702,22
886,52381,23
-1,-1,24
-1,-1,25
5868,80543,27
-1,-1,26
111465,60401,28
119413,19400,29
68027,67316,30
11134,77231,31
25370,40912,32
32062,15570,33
2034,16280,34
766,47982,35
72398,31107,36
55024,96735,37
66365,50368,38
34074,32907,40
62036,38033,39
1302,4830,41
27693,82562,42
5301,13965,44
73592,16074,43
