attach,https://nodes.thetangle.org:443 score: 105.76223254257374 scoreNorm: 0.46098708659601567
611,1482,0
499,12009,1
743,1362,3
-1,-1,2
575,3449,4
451,26317,5
744,13097,6
686,4012,7
338,4795,9
512,11885,10
1093,16291,11
-1,-1,12
558,4433,14
497,3352,15
-1,-1,8
542,1431,16
872,14527,17
425,22074,18
1170,27858,19
546,22022,20
548,66762,21
-1,-1,22
-1,-1,13
3340,1881,23
912,2553,24
1454,765,25
2119,1696,26
539,767,27
824,6472,28
783,13297,29
1382,18754,30
1936,25398,31
894,29351,32
11832,1011,33
910,2969,34
982,936,35
1381,718,36
591,3633,38
543,31218,39
735,5582,41
628,1100,42
3514,1896,43
312,5021,44
-1,-1,37
-1,-1,40
