attach,https://hanspetzersnode.org:14267 score: 77.50490600243211 scoreNorm: 0.3456970698094293
4813,70956,0
23821,7157,1
846,3773,2
754,27827,3
13589,14250,4
772,26198,5
997,5193,6
629,32834,7
1497,32747,8
799,13062,9
716,6697,10
628,31650,11
576,19443,12
326,17887,13
1688,7742,14
545,4093,15
34002,4509,16
10741,14735,17
854,9994,18
663,11359,19
745,8878,20
61025,26979,21
16767,37695,22
1918,31041,23
15811,12378,24
8053,10571,25
2927,32251,26
1211,2388,27
627,15074,28
-1,-1,29
34989,26566,30
13144,45964,31
6941,42795,32
3321,98963,33
15522,88631,34
62676,53349,36
106080,178608,35
49413,189767,37
-1,-1,40
30665,231397,38
169684,39324,39
85336,114560,42
15524,166858,43
146065,278243,41
233620,145952,44
