attach,http://node01.iotatoken.nl:14265 score: 46.648858729771206 scoreNorm: 0.2080690707802404
758,2911,0
462,4651,1
584,5504,2
276,4268,3
493,3474,4
393,12365,5
360,5386,6
805,8201,7
220,7981,8
707,963,9
444,4574,10
414,6309,11
550,8286,12
400,1627,13
267,8360,14
545,4392,15
454,1518,16
628,4184,17
17736,4540,18
740,12244,19
750,9820,20
548,5438,21
488,2778,22
715,3153,23
871,3690,24
486,2591,25
3894,21205,26
3128,5044,27
523,3608,28
717,3055,29
578,752,30
2888,12348,31
1758,24384,32
25310,11766,33
3111,2524,34
411,3354,35
684,865,36
8128,5348,37
2090,5710,38
349,13006,39
8156,2753,40
4847,9765,41
7288,17909,42
