attach,https://wallet2.iota.town:443 score: 48.19580356031657 scoreNorm: 0.3630272130606032
382903,0
471836,1
478723,2
473227,3
478617,4
423380,5
405875,6
423513,7
644399,8
-1,10
615658,9
658946,11
-1,13
646659,12
-1,14
597005,15
-1,20
-1,21
-1,19
651836,16
643974,17
719758,18
595917,22
570810,23
-1,24
613439,25
692986,26
-1,31
578942,28
612339,30
708311,27
715108,29
624208,32
-1,34
672876,33
579560,35
555513,36
532204,37
567013,38
387815,42
403534,43
430951,44
-1,41
966420,39
925267,40
