attach,VPUUTESEFPBYJONUNUQOKXCNJERI9WYIWP9REJMBGRZFGKNSCGTRMJPPMOMEYMRPQLDEYBNGLUGUIJDPB https://ultranode.iotatoken.nl:443
1387,0
1253,1
2861,2
2327,3
3145,4
1525,5
1505,6
1992,7
3049,8
8674,9
2968,10
1856,11
1559,12
2170,13
2572,15
1240,16
950,17
1311,18
2326,19
2421,20
1386,21
2353,22
2118,23
4341,24
1434,25
5072,26
4235,27
2899,28
2699,29
4627,30
5643,31
7121,32
1058,33
1950,34
1824,35
733,36
2999,37
1489,38
1071,39
3699,40
5315,41
4121,42
4738,43
2982,44
