attach,VGLP9IOMFRKLDCHQIILZWSCGYPSSMNLCTOMYWAJSFXAYBUYYMXPZODVECBMZMHWKM9TZYCQSQ9SIXSAHK https://node-iota.org:14267
2197,0
2204,1
776,2
1551,3
8941,4
2548,5
2119,6
1159,7
1107,8
3349,9
2303,10
1097,11
3071,12
1640,13
3685,14
3505,15
3844,16
2434,17
9628,18
2340,19
9246,20
3407,21
1868,22
1490,23
1830,24
2651,25
1909,26
1671,27
2189,28
1256,29
1675,30
2448,31
2993,32
6051,33
1426,34
3827,35
3725,36
2891,37
4070,38
4612,39
2755,40
2543,41
4718,42
5839,43
2092,44
