attach,http://iotawallet.tobg.com.de:14265 score: 39.06206788122654 scoreNorm: 0.33033013603405925
9824,0
2875,1
19251,2
6858,3
12004,4
23062,5
31230,6
36937,7
27446,8
4337,9
17387,10
20468,11
19564,12
15964,13
3609,14
2915,15
26464,16
5697,17
17635,18
5815,19
29173,20
11629,21
4233,22
15925,23
14424,24
7315,25
4260,26
10598,27
16769,28
16109,29
9718,30
16885,31
15353,32
10271,33
7985,34
37265,35
11348,36
4544,37
6693,38
86379,39
10970,41
53993,40
3765,42
37306,43
44462,44
