attach,https://www.iotaqubic.us:443 score: 97.28977370677096 scoreNorm: 0.7880244395409023
704,713,0
923,714,1
908,704,2
1543,812,3
1308,707,4
1201,698,5
868,708,6
1601,709,7
1519,701,8
1013,672,9
977,717,10
1222,699,11
901,719,12
1163,701,13
1269,703,14
1035,696,15
1089,704,16
984,713,17
1240,689,18
1283,691,19
959,684,20
933,735,21
1300,697,22
1353,739,23
1145,712,24
790,714,25
1078,722,26
783,717,27
962,734,28
1019,715,29
766,702,30
1018,721,31
2829,715,32
1381,709,33
-1,-1,34
892,730,35
-1,-1,36
868,913,37
926,713,38
1438,730,39
976,714,40
-1,-1,41
946,726,42
1428,708,43
-1,-1,44
