attach,https://www.iotaqubic.us:443 score: 95.75624646718438 scoreNorm: 0.40515523404302844
-1,-1,0
-1,-1,1
-1,-1,2
-1,-1,3
-1,-1,4
-1,-1,5
-1,-1,6
-1,-1,7
-1,-1,8
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
983,699,15
-1,-1,14
1343,723,16
1102,1240,17
1210,680,18
1072,713,19
864,710,20
-1,-1,21
840,731,22
1411,735,23
1118,714,24
-1,-1,25
2095,715,26
-1,-1,27
1641,748,28
-1,-1,29
1305,697,30
1389,728,31
1069,740,32
781,735,33
1108,700,34
1104,717,35
1253,728,36
1226,701,37
861,741,38
937,700,39
1162,731,40
1413,739,41
1384,731,42
862,718,43
744,777,44
