attach,https://nodes.thetangle.org:443 score: 104.21824213263693 scoreNorm: 0.44095887047193166
625,15038,0
528,758,1
359,2948,2
297,25957,3
628,16128,4
471,2261,5
445,2589,6
718,1477,7
469,2003,8
745,7495,9
383,11400,10
1324,19300,11
1533,32771,12
1119,5057,13
580,1205,14
1286,4229,15
533,923,17
1227,13923,18
1928,14021,19
-1,-1,20
706,26513,21
1167,28470,22
979,4425,23
1381,2415,24
1218,14424,25
749,2921,26
-1,-1,16
1688,3700,27
919,3588,28
480,10916,29
1110,19892,30
1077,25131,31
9747,28485,32
-1,-1,33
24447,1438,34
1097,933,35
2302,4086,36
1085,1418,37
858,3940,38
995,11095,39
11499,20873,40
957,22537,41
2619,52435,42
502,2262,43
995,1808,44
