attach,https://nodes.thetangle.org:443 score: 111.66208342477177 scoreNorm: 0.5468467048353903
723,37420,0
847,3900,1
1371,4045,2
482,478,3
431,2307,4
386,2081,5
1380,24723,6
495,11236,7
604,15594,8
1096,2573,10
1352,688,11
526,3228,12
-1,-1,13
1030,1327,14
1081,18934,15
1378,26467,16
1326,14897,17
20108,26594,18
-1,-1,9
1723,23097,19
2041,293,20
784,1752,21
1566,1194,22
1279,1168,23
1647,1198,24
636,989,25
1524,4632,26
7814,8142,27
1346,2653,28
1713,1713,29
852,4090,30
960,4297,31
495,2117,32
662,14753,33
295,6781,34
1430,14683,35
1450,20316,36
535,3967,37
517,14596,38
8152,2206,39
893,1283,40
406,3361,41
1552,8034,42
399,10021,43
355,13092,44
