attach,https://wallet1.iota.town:443 score: 111.02140731811522 scoreNorm: 1
80046,0
83235,1
146184,2
162959,3
205989,4
208134,5
215388,6
161831,7
184656,8
150375,9
193346,10
252890,11
260268,12
237186,13
280482,14
454442,15
495175,16
589372,17
-1,19
712529,18
-1,20
713859,21
726383,22
743294,23
-1,26
-1,27
-1,28
-1,25
826474,24
-1,30
-1,31
-1,32
-1,33
-1,34
975972,29
888932,35
888810,36
-1,41
-1,40
-1,42
-1,39
922277,37
-1,38
909526,43
924084,44
