attach,https://nodes.thetangle.org:443 score: 104.21824213263693 scoreNorm: 0.44095887047193166
1268,10177,0
641,4109,1
906,971,2
465,624,3
619,1370,4
461,2963,5
412,1505,6
458,3922,7
511,6368,8
431,4314,9
570,12467,10
300,329,11
403,881,12
659,35293,13
348,3802,14
1172,3569,15
1188,26775,18
478,1373,19
426,7048,20
2102,3329,21
675,3081,22
-1,-1,16
877,10747,23
-1,-1,17
1237,14484,24
667,31144,25
1466,25137,26
504,1914,27
23378,692,28
949,2671,30
3886,14184,31
883,3482,32
448,7618,33
744,2111,34
-1,-1,29
1280,1164,35
606,1615,36
1411,9644,37
564,18692,38
17515,5561,39
1463,1837,40
1386,409,41
490,3038,42
1437,2253,43
471,13689,44
