attach,https://node00.gubiota.ch:443 score: 5.121878139183252 scoreNorm: 0.021027977560484933
1460,73,0
1729,76,1
515,56,2
699,56,3
966,54,4
552,64,5
456,42,6
572,57,7
964,70,8
914,81,9
686,45,10
726,41,11
1018,71,12
1004,64,13
1047,60,14
838,85,15
738,56,16
986,59,17
516,58,18
907,75,19
671,59,20
1212,72,21
669,59,22
518,45,23
1458,87,24
1274,113,25
1117,61,26
846,66,27
879,47,28
1901,55,29
776,59,30
732,77,31
850,47,32
596,76,33
485,56,34
1398,75,35
997,55,36
599,43,37
1000,103,38
876,54,39
1266,85,40
1476,49,41
959,1072,42
