attach,http://89.163.242.213:14265 score: 227.2941779446072 scoreNorm: 1
1334,3306,0
2311,3616,1
381,3994,2
1362,5194,3
4607,28388,4
4786,5720,5
15720,8608,6
10169,21362,7
497,1789,8
871,1308,9
14272,20480,10
1175,3158,11
4887,34943,12
910,3143,13
12144,1536,14
799,21692,15
8358,19416,16
1817,16144,17
922,6317,18
12070,5301,19
60516,29135,20
2109,98093,21
86446,13855,22
64680,49553,23
82904,37333,24
72410,76784,25
113030,38239,26
114592,6639,27
24204,92859,28
-1,-1,29
-1,-1,30
88287,73969,31
118833,2162,32
16716,96970,33
89767,44406,34
-1,-1,36
116849,79834,35
-1,-1,37
-1,-1,38
-1,-1,40
-1,-1,39
-1,-1,41
-1,-1,42
-1,-1,44
-1,-1,43
