attach,https://hanspetzersnode.org:14267 score: 42.36071169376373 scoreNorm: 0.18636954134428935
25111,1173,0
396,18951,1
356,11666,2
554,8675,3
17650,17945,4
1116,34863,5
603,7184,6
255,29443,7
12515,14032,8
552,14614,9
25652,14302,10
531,10954,11
630,6882,12
20639,2285,13
767,43417,14
943,29787,15
17889,14056,16
587,8583,17
1345,9919,18
734,16084,19
840,6838,20
690,13586,21
462,6816,22
707,3634,23
1681,47383,24
409,35606,25
9475,14625,26
222,16029,27
414,4236,28
554,6160,29
867,4141,30
14611,4282,31
937,37762,32
17976,19427,33
939,7230,34
776,65988,35
11654,22599,37
42126,55801,36
583,13713,38
904,5273,39
18946,2100,40
434,25568,41
1915,33834,42
