attach,https://nodes.thetangle.org:443 score: 83.8770052449087 scoreNorm: 0.36902399350215637
569,34052,0
468,4423,1
443,11587,2
428,5967,3
476,1128,4
507,877,5
729,652,6
637,2571,7
637,18494,8
571,12443,9
430,7270,10
666,6843,11
519,1371,12
432,8204,13
667,1877,14
950,1335,15
1004,3218,16
518,1083,17
491,17361,18
1283,2352,19
1706,14094,20
1533,2457,21
657,970,22
965,1032,23
771,15613,24
776,887,25
530,10537,26
433,12469,27
1308,17768,28
-1,-1,29
611,1051,30
794,743,31
523,11238,32
441,20494,33
589,16230,34
257,1274,35
639,8226,36
817,576,37
-1,-1,38
398,26106,39
493,24938,40
375,751,41
906,1790,42
551,1037,43
368,4503,44
