attach,https://ultranode.iotatoken.nl:443 score: 71.81276131184896 scoreNorm: 0.5488723831083004
4548,0
13773,1
6807,2
3828,3
6577,4
1077,5
1424,6
3908,7
5414,8
31132,9
11791,10
6633,11
2568,12
16371,13
68243,14
14654,15
11920,16
16089,17
9376,18
4190,19
30378,20
8824,21
5007,22
28463,23
15098,24
3297,25
68134,26
17914,27
49844,28
79433,29
42408,31
111846,30
12050,32
25434,33
3912,34
31085,35
22792,36
32981,37
8034,38
10307,39
2741,40
9240,41
6008,42
5792,43
10083,44
