attach,https://nod3.theshock.de:443 score: 32.24380597472191 scoreNorm: 0.33540907554460175
9423,0
18885,1
4643,2
6188,3
33793,4
4979,5
11145,6
12074,7
7178,8
12115,9
16599,10
8957,11
10717,12
11413,13
10502,14
9318,15
10806,16
11514,17
6009,18
13214,19
14642,20
7047,21
5028,22
11178,23
32023,24
16905,25
20566,26
5655,27
9802,28
7274,29
6261,30
9420,31
15233,32
5546,33
5001,34
7604,35
10178,36
19479,37
16453,38
11565,39
10877,40
19677,41
6245,42
4770,43
5182,44
