attach,LSAVARGJDKIUWRIBCOPIKGUHFYHNRKRJREQDCHJ9EJEYIZFUNZMZ9ZMKGYRGSBRYJDCDDURNFKJTGVZHO https://iota.chain.garden:443
18583,0
26563,1
32244,2
5011,3
17829,4
2326,5
20650,6
51666,7
86014,8
152026,9
118144,10
156533,11
77160,12
186074,13
-1,15
-1,16
-1,18
-1,20
-1,19
291653,14
-1,21
-1,22
432450,17
-1,24
252643,23
212225,25
-1,27
-1,28
-1,30
414478,26
205308,29
200218,32
-1,33
-1,31
172831,34
-1,39
309131,35
194550,37
180508,38
314496,36
-1,41
139237,40
-1,43
243255,42
136021,44
