attach,https://ultranode.iotatoken.nl:443 score: 233.43118256293403 scoreNorm: 0.9977377845503075
803,5087,0
985,9816,1
8002,5528,2
1069,8081,3
636,807,4
10421,26999,5
740,6802,6
9376,32066,7
24009,48378,8
13686,33778,9
5142,433,10
1696,12772,11
3382,16365,12
1508,23272,13
804,3301,14
4653,27738,15
5710,8717,16
569,3253,17
5309,35792,18
21145,26035,19
42860,74746,20
20509,59917,21
41188,21403,22
70402,44673,23
1340,69668,24
26705,46672,25
13371,66113,27
68605,84831,26
18770,63901,28
59718,39061,30
86461,114729,29
29597,87691,31
29788,95030,32
88506,39422,33
94747,29026,34
34095,93635,35
-1,-1,36
46747,71273,37
27794,27982,38
41587,23225,39
33892,37018,40
4519,30177,41
19117,15111,42
