attach,https://nodes.thetangle.org:443 score: 99.9925655064958 scoreNorm: 0.4273908896171366
551,1065,0
720,5608,1
307,5898,2
-1,-1,3
735,12179,4
473,5550,5
1867,50390,6
1610,7367,7
790,14622,8
607,13219,9
572,1866,10
571,847,11
403,7704,12
360,16094,13
252,1125,14
1358,1324,15
542,7729,16
464,9465,17
522,18641,18
652,25205,19
770,17917,20
412,344,21
633,1746,22
10559,2456,23
649,1789,24
510,52077,25
687,12975,26
359,17104,27
385,21303,28
562,27505,29
439,20865,30
694,5890,31
303,9968,32
408,11152,33
412,3512,34
294,11895,35
872,13544,36
426,37797,37
655,40443,38
524,30941,39
4126,2205,40
595,2934,41
763,1650,42
984,726,43
437,984,44
