attach,BKYCLMZMHRBP9KJXMPRXLEDRUKL9XVDXOHVSZURUMVDNQPLUTOYWJVQZGBYIMTEPPDOOS9GYBAHPHUNAP https://hanspetzersnode.org:14267 score: 0.3161329588495394
-1,3
-1,0
-1,1
-1,4
341335,2
-1,8
-1,9
-1,7
148294,6
486335,5
-1,13
-1,14
-1,15
-1,17
-1,10
-1,12
-1,16
-1,11
-1,19
-1,18
-1,20
-1,21
-1,22
28322,23
-1,25
-1,28
-1,29
396259,24
-1,30
-1,34
479092,26
-1,37
-1,36
611622,27
-1,38
-1,35
-1,33
-1,39
595379,31
-1,40
593075,32
-1,44
-1,41
549586,42
495793,43
