attach,http://node05.iotatoken.nl:14265 score: 44.398875209263394 scoreNorm: 0.19306225368225338
423,66,0
496,58,1
425,59,2
458,58,3
444,64,4
368,57,5
310,65,6
630,60,7
716,64,8
293,66,9
494,64,10
438,345,11
683,67,12
780,63,13
488,57,14
519,58,15
552,57,16
8872,60,17
510,60,18
538,67,19
593,61,20
353,61,21
226,145,22
432,57,23
464,67,24
554,57,25
292,61,26
345,63,27
404,64,28
520,65,29
264,67,30
252,67,31
419,95,32
379,60,33
405,57,34
457,81,35
275,67,36
525,410,37
345,89,38
832,57,39
2123,58,40
840,57,41
349,58,42
