attach,https://node-iota.org:14267 score: 53.76853957772255 scoreNorm: 0.41665936127688424
482,65,0
17450,59,1
1898,64,2
1131,75,3
708,46,4
631,75,5
1157,68,6
1023,75,7
732,69,8
5211,59,9
2599,56,10
440,56,11
441,65,12
559,71,13
7575,75,14
578,87,15
1597,55,16
698,55,17
623,74,18
523,77,19
708,65,20
545,82,21
704,86,22
453,64,23
1117,75,24
529,79,25
849,65,26
899,78,27
563,76,28
44296,6019,29
817,64,30
406,65,31
433,57,32
20693,386,33
14568,70,34
609,60,35
563,80,36
529,71,37
694,49,38
678,61,39
27213,1054,40
885,68,41
816,68,42
