attach,VVTYBBMEYWWRJIQAJGM9OMWOWFVDOCQRGHSGUGCBFGBDYQINB9DXKU9JQPHPIIEDWXOZGYLUMMPSGQMQY https://node-iota.org:14267 score: 0.48127852623259165
1465,0
2220,1
3170,2
1604,3
1885,4
1000,5
2437,6
4909,7
1498,8
1412,9
674,10
6776,11
1747,12
5460,13
6010,14
1126,15
1298,16
1879,17
2600,18
1701,19
2694,20
-1,21
1421,22
1601,23
1225,24
2670,25
4855,26
1662,27
1393,28
2076,29
2273,30
5159,31
2766,32
1986,33
1475,34
7136,35
1102,36
1620,37
2872,38
1716,39
-1,40
3915,41
2262,42
6540,43
3837,44
