attach,DHFLGZHTRICNKCZBANUCVNK9RIOSWEVWNNRIDTWKRHBTLQQOFSNDPXJBREZMVVNAFDGNPGVPIADOFXTLR https://node02.gubiota.ch:443 score: 0.32642680783637423
1895,0
8573,1
2660,2
1741,3
3028,4
2160,5
1165,6
2097,7
5480,8
5955,9
2568,10
1818,11
3548,12
633,13
1441,14
3244,15
948,16
2370,17
-1,18
7060,19
4449,20
8740,21
1213,22
943,23
2746,24
1140,25
2372,26
2999,27
6475,28
2464,29
3193,30
2623,31
3464,32
1540,33
3530,34
2338,35
6236,36
1292,37
3951,38
4671,39
822,40
1823,41
1595,42
1960,43
4682,44
