attach,https://pow.iota.community:443 score: 47.885242104530334 scoreNorm: 0.4380646857161331
11098,0
15612,1
6476,2
5827,3
6597,4
6180,5
15752,6
8595,7
6854,8
5853,9
4027,10
3840,11
11086,12
25775,13
5150,14
10934,15
3027,16
3161,17
12834,18
7417,19
4371,20
3204,21
3220,22
2689,23
6127,24
17563,25
2829,26
9473,27
4428,28
6934,29
2227,30
5579,31
4753,32
29662,33
6928,34
2977,35
6704,36
6288,37
11447,38
4935,39
18389,40
20976,41
26907,42
7715,43
5356,44
