attach,https://node-iota.org:14267 score: 44.1181841018525 scoreNorm: 0.18814376088611892
38656,8692,0
931,9845,1
3974,6256,2
-1,-1,3
1136,8394,4
40305,15268,5
9980,20985,6
489,14892,7
6626,4328,8
16145,43018,9
37004,54015,10
91270,70279,11
30422,136294,12
3267,190309,13
56041,129147,14
-1,-1,17
5192,273525,15
-1,-1,19
-1,-1,18
115890,209654,16
241333,81713,20
115690,180525,21
54036,225293,22
169899,183294,23
107730,237312,24
289188,96204,25
-1,-1,28
-1,-1,27
163188,212797,26
-1,-1,30
-1,-1,31
-1,-1,29
-1,-1,39
-1,-1,36
-1,-1,35
-1,-1,34
-1,-1,33
-1,-1,32
-1,-1,40
-1,-1,38
-1,-1,41
-1,-1,37
-1,-1,42
-1,-1,44
-1,-1,43
