attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 LIFCKCVMWBHJWZAZAZCMZCTBZHIBVKTHHRNJRMIKIES9IOCARIJIXHOMHRSNUWKNJIIUSOZOTBJFIZSGO
-1,0
-1,1
-1,2
-1,3
607,4
517,5
3517,6
21722,7
-1,8
-1,9
-1,10
-1,11
-1,12
-1,13
-1,14
-1,15
-1,16
560,17
15679,18
30500,19
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
1220,27
27677,28
-1,29
-1,30
-1,31
-1,32
-1,33
1394,34
535,35
-1,36
1426,37
12454,38
-1,39
-1,40
-1,41
-1,42
-1,43
