attach,BJJOSARGVVXYGZCFHGBGZDGHGLKXFZGWYQUZVGXEUALOVBVOKKLRYMMDYKVHQTTKOHQTCPWBMLIZ9NKK9 https://node02.gubiota.ch:443 score: 0.4345421952092414
110909,0
152451,1
122650,2
-1,4
154156,3
-1,5
-1,7
232490,6
-1,9
-1,8
-1,10
-1,11
-1,12
-1,14
-1,13
-1,15
-1,16
-1,18
-1,17
-1,19
-1,20
-1,22
-1,21
-1,23
-1,24
-1,25
-1,26
-1,27
-1,29
-1,28
-1,30
-1,32
-1,31
-1,33
-1,34
-1,36
-1,35
-1,37
-1,39
-1,38
-1,40
-1,42
-1,41
-1,44
-1,43
