attach,https://pow.iota.community:443 score: 53.82130868732929 scoreNorm: 0.40540043432584794
9268,0
1436,1
17242,2
19956,3
16157,4
11795,5
13700,6
9573,7
7064,8
35853,9
11659,10
15712,11
10114,12
2024,13
2275,14
10514,15
5023,16
36824,17
4334,18
12086,19
22522,20
3660,21
20977,22
3587,23
2357,24
34192,25
19073,26
4674,27
11859,28
4116,29
7400,30
2166,31
33072,32
10023,33
32770,34
9159,35
3219,36
19885,37
11458,38
23847,39
33969,40
4414,41
3286,42
7430,43
