attach,https://nodes.thetangle.org:443 score: 103.4687883492802 scoreNorm: 0.7793621663800698
1418,0
744,1
6971,2
6847,3
3794,4
2605,5
6951,6
1738,7
2938,8
1965,9
3007,10
10800,11
3984,12
2153,13
4758,14
11228,15
4600,16
2883,17
1357,18
4066,19
19000,20
21616,21
3434,22
3644,23
4645,24
2983,25
1498,26
3707,27
1622,28
3189,29
2096,30
10831,31
1246,32
2629,33
6764,34
4513,35
5454,36
1148,37
1832,38
1434,39
4336,40
4839,41
2435,42
54261,43
5803,44
