id, latitude, longitude, timestamp, executionTime
1, -22.894, -43.2578, 2020-03-08T10:10:46.845Z, 1225
0, -22.8951, -43.256, 2020-03-08T10:09:46.829Z, 14804
2, -22.8949, -43.2624, 2020-03-08T10:12:05.897Z, 16658
3, -22.8967, -43.2632, 2020-03-08T10:13:26.941Z, 405
4, -22.899, -43.2636, 2020-03-08T10:13:45.978Z, 1421
5, -22.9007, -43.2666, 2020-03-08T10:14:45.981Z, 2223
6, -22.9018, -43.2692, 2020-03-08T10:15:46.004Z, 1118
7, -22.897, -43.2722, 2020-03-08T10:17:46.120Z, 804
8, -22.8964, -43.2726, 2020-03-08T10:18:46.149Z, 2186
9, -22.8926, -43.2767, 2020-03-08T10:20:14.161Z, 2662
10, -22.8921, -43.2775, 2020-03-08T10:20:45.164Z, 3123
11, -22.892, -43.2794, 2020-03-08T10:21:45.172Z, 1548
12, -22.8919, -43.2804, 2020-03-08T10:22:45.190Z, 1149
13, -22.8919, -43.2818, 2020-03-08T10:23:45.232Z, 1580
