attach,https://ultranode.iotatoken.nl:443 score: 64.35332004123264 scoreNorm: 0.5796478498677091
4305,0
2564,1
54121,2
56955,3
65647,4
61079,5
110311,6
98654,7
79319,8
27895,9
29393,10
23381,11
2900,12
3389,13
4165,14
10704,15
54819,16
135119,17
-1,18
-1,20
-1,19
168767,21
169944,22
-1,23
143366,24
114818,25
112491,26
100305,27
84889,28
2372,29
83042,30
33488,31
14298,32
10945,33
3690,34
7729,35
53322,36
-1,37
-1,38
-1,40
-1,39
-1,41
-1,42
-1,44
-1,43
