attach,RMUHYEHLQHABFRELYHOUBDAEBFCVPJMFHFOCRU9UDOLPIL9XWFWVR9UXZPLFXCYYQQFXYYBSVPBINPQYC https://node02.gubiota.ch:443 score: 0.27528615352457514
16863,0
13399,1
35182,2
38769,3
78126,4
81992,5
106985,6
289173,7
335398,8
304511,9
302380,10
269551,11
272940,12
-1,15
344555,13
-1,14
-1,18
316183,16
406145,17
-1,21
-1,19
-1,22
-1,25
-1,26
448012,20
-1,24
-1,23
-1,29
-1,27
-1,28
-1,30
-1,31
-1,32
-1,35
344649,34
-1,33
-1,38
-1,36
-1,37
-1,39
-1,40
-1,41
-1,42
321930,43
304785,44
