attach,YNKNKEOPEWCRBELRENARVRBUZFJTOWDXJHNDEDCAQNQEFPDMIBEOCMVVWPKDEGS9RWOCARA9JYILMYTCF https://node01.gubiota.ch:443 score: 0.27654749467725914
6174,0
20299,1
35945,2
-1,3
317447,4
297844,5
-1,6
-1,10
-1,9
-1,7
-1,11
-1,14
-1,15
-1,16
-1,13
-1,12
-1,8
-1,19
-1,18
-1,23
-1,24
-1,25
-1,21
-1,20
-1,22
-1,17
-1,26
-1,27
335870,29
348884,30
-1,32
-1,31
-1,35
-1,36
-1,34
-1,28
-1,37
-1,38
-1,39
-1,33
-1,40
-1,41
323001,42
-1,43
-1,44
