attach,https://perma.iota.partners:443 score: 42.13396844863892 scoreNorm: 0.3795121091188327
7210,0
3747,1
4656,2
11169,3
40125,4
30999,5
2076,6
5308,7
2889,8
2030,9
14076,10
11329,11
3213,12
2343,13
12816,14
6182,15
2410,16
1848,17
5444,18
5671,19
2612,20
30631,21
2592,22
6705,23
12977,24
3402,25
7065,26
6422,27
6928,28
7572,29
20561,30
3231,31
6577,32
3658,33
5843,34
7613,35
8885,36
17905,37
5513,38
9898,39
11704,40
8689,41
10567,42
10180,43
