attach,https://trinity.iota-tangle.io:14265 score: 74.74963881075382 scoreNorm: 0.6732903195558485
1305,0
1191,1
3177,2
1486,3
2365,4
2355,5
1940,6
9219,7
2282,8
3093,9
1467,10
4092,11
2111,12
2517,13
3074,14
1931,15
2460,16
1257,17
1632,18
2853,19
525,20
3116,21
4189,22
2220,23
5187,24
1410,25
1885,26
2491,27
1084,28
1793,29
1085,30
2954,31
1531,32
2618,33
1603,34
8151,35
699,36
732,37
2742,38
2308,39
756,40
3030,41
4523,42
1189,43
5009,44
