attach,https://nodes.thetangle.org:443 score: 112.8936817503511 scoreNorm: 0.46122569456904405
19631,0
3723,1
771,2
1753,3
-1,4
2116,5
1759,6
2927,7
2718,8
21395,9
4007,11
3446,12
3907,13
11435,14
2409,15
1508,16
14995,17
2832,18
2497,19
-1,10
1399,20
11194,21
2930,22
2278,23
14389,25
5178,26
1619,27
5612,28
4594,29
2450,30
1018,31
21117,32
1837,33
2198,34
-1,24
5588,35
2227,36
2654,37
5191,38
-1,39
-1,40
1946,41
1013,42
