attach,https://nodes.thetangle.org:443 score: 92.3696665423104 scoreNorm: 0.6566244372014733
6445,0
1890,1
7623,2
2957,3
4965,4
-1,5
16471,6
3507,7
6659,8
1801,9
5095,10
5027,11
4030,12
819,13
2384,14
4474,15
1764,16
4601,17
1648,18
1726,19
1526,20
3433,21
3131,22
887,23
4786,24
3474,25
2355,26
29685,27
2652,28
-1,29
1295,30
2507,31
3735,32
1274,33
1680,34
1074,35
2607,36
-1,37
1948,38
9811,39
4199,40
1469,41
2995,42
