attach,https://node-iota.org:14267 score: 82.0636478215456 scoreNorm: 0.6272209719213249
56352,0
54353,1
12192,2
65105,3
64211,4
19507,5
24536,6
106027,7
132800,8
160056,9
156157,10
172845,11
190467,12
228655,13
249587,14
232816,15
262126,16
303820,17
-1,18
-1,19
372480,20
416707,21
-1,24
-1,23
-1,22
-1,25
-1,26
451130,27
-1,31
-1,30
-1,29
-1,28
-1,32
-1,33
-1,34
-1,35
-1,40
-1,36
-1,37
-1,38
-1,43
-1,39
-1,41
-1,44
-1,42
