attach,https://nodes.thetangle.org:443 score: 92.90269800079004 scoreNorm: 0.8017845985885674
8425,0
3210,1
6061,2
710,3
3077,4
13699,5
13960,6
10825,7
3864,8
3640,9
2048,10
4515,11
4337,12
2603,13
1402,14
9638,15
10791,16
18822,17
3358,18
1011,19
1963,20
7521,21
915,22
5914,23
1827,24
9909,25
4712,26
1867,27
5126,28
2998,29
3910,30
1528,31
6725,32
956,33
1601,34
1324,35
1524,36
2036,37
4092,38
1267,39
1257,40
3797,41
1654,42
3837,43
1279,44
