attach,https://wallet1.iota.town:443 score: 111.02140731811522 scoreNorm: 1
14699,0
31402,1
52452,2
201872,3
214820,4
199060,5
139497,7
180931,8
386430,6
217556,9
263492,10
246281,11
238299,12
275636,13
287938,14
489333,15
530521,16
606163,17
-1,19
-1,18
-1,20
706017,21
719395,22
740133,23
777595,24
-1,25
-1,26
-1,28
-1,29
-1,30
-1,31
-1,32
-1,27
889240,33
886781,34
-1,39
-1,38
-1,37
-1,40
-1,36
-1,35
891364,41
-1,44
895525,42
-1,43
