attach,https://node01.gubiota.ch:443 score: 41.23546574419137 scoreNorm: 0.173802935450307
12533,10437,0
-1,-1,2
-1,-1,1
-1,-1,3
-1,-1,5
-1,-1,4
-1,-1,6
-1,-1,7
-1,-1,8
68341,74356,9
-1,-1,10
-1,-1,11
-1,-1,12
98003,34409,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
99915,40255,18
-1,-1,19
-1,-1,20
-1,-1,22
-1,-1,21
-1,-1,23
-1,-1,24
82634,55638,25
-1,-1,26
-1,-1,27
96425,33835,28
5450,79010,29
5580,8681,31
-1,-1,30
38661,54426,32
-1,-1,33
93591,32848,34
1275,48080,35
25974,4670,36
23301,53703,37
497,30763,38
835,72101,39
36040,12488,40
7791,59479,41
15638,44347,42
