attach,http://5.189.141.225:14265 score: 89.36192939758301 scoreNorm: 0.3844787238143287
1310,34,0
998,48,1
1122,28,2
2400,28,3
1194,44,4
1149,38,5
390,50,6
31916,231,7
30235,17958,8
10379,1029,9
10864,5589,10
15955,782,11
2666,451,12
7861,14809,13
8855,951,14
965,10257,15
573,51,16
1075,38975,17
7527,44,18
6233,32365,19
10905,12224,20
27847,581,21
23801,18900,22
7675,48562,23
21754,22379,24
48681,31905,25
10129,77983,26
29060,40537,27
14377,53288,28
19160,10008,29
40663,2269,30
1210,36,31
74051,12905,32
10919,55697,33
34188,57837,34
122463,8684,35
54125,83093,36
2608,137817,37
78087,19697,38
18689,74679,39
2946,103678,40
4615,63,41
6125,12625,42
-1,-1,43
373,43,44
