attach,http://207.180.202.219:14265 score: 49.953444164279944 scoreNorm: 0.2159373063868496
782,28,0
333,43,1
25955,77,2
481,38,3
3502,969,5
44524,42452,4
1116,80,6
747,24,7
1277,34,8
750,43,9
37082,57,10
2067,88,11
6704,97,12
1104,68,13
1084,75,14
1514,82,15
11921,165,16
1347,87,17
1109,32,18
2716,44,19
1002,31,20
6012,86,21
1190,70,22
14340,107,23
3965,76,24
1348,78,25
1246,35,26
2978,83,27
660,34,28
582,32,29
2427,163,30
6478,92,31
2438,81,32
-1,-1,33
29239,1206,35
73597,48450,34
6616,14222,36
1209,76,37
23232,74,38
1386,75,39
1687,189,40
1270,92,41
924,45,42
8300,99,43
705,25,44
