attach,https://wallet2.iota.town:443 score: 92.22916798408217 scoreNorm: 0.3986855849075577
132347,148120,0
208021,346,2
80026,84698,3
17498,98336,4
42260,22716,5
268428,40880,1
2542,10911,6
210293,960,8
149348,15829,9
338939,13851,10
51732,248626,11
-1,-1,7
144010,977,19
240339,436669,12
176092,446256,13
114841,573851,14
-1,-1,15
440855,257220,16
277610,345321,17
-1,-1,21
-1,-1,22
243899,373898,18
111705,598024,20
-1,-1,25
-1,-1,26
246203,330779,23
154357,433417,24
268967,296380,27
232352,340308,28
131249,397488,29
70484,431954,30
257751,169778,32
223359,287784,33
161929,347515,34
157117,339663,36
120699,357761,37
380187,48194,38
475005,451481,31
198511,336735,39
146150,339449,40
-1,-1,42
84619,478566,41
443396,574176,35
