attach,https://nodes.thetangle.org:443 score: 104.21824213263693 scoreNorm: 0.44095887047193166
832,11363,0
507,1005,2
488,35418,1
826,3065,3
330,858,4
595,2044,5
515,3074,6
1290,1678,7
888,1872,8
635,6738,9
895,10724,10
520,15934,11
351,25429,12
726,30705,13
670,810,14
822,3061,15
1543,1940,16
1061,1528,17
1432,4208,18
885,10254,19
1252,21594,20
1723,24058,21
11823,28749,22
1571,5391,23
2651,2727,24
1518,2199,25
927,5215,26
901,730,27
1072,3789,28
622,13266,29
662,28761,30
620,26222,31
1455,33595,33
45054,6099,34
584,2353,36
918,7579,38
626,14423,39
12715,21940,40
-1,-1,32
565,25063,41
1465,30994,42
773,1036,43
519,487,44
-1,-1,35
-1,-1,37
