id, latitude, longitude, timestamp, executionTime
0, -22.960569, -43.206589, 2020-03-13T16:15:07.269Z, 2115
1, -22.96034, -43.204342, 2020-03-13T16:16:07.285Z, 2894
2, -22.95949, -43.201069, 2020-03-13T16:17:07.303Z, 2168
3, -22.957621, -43.199081, 2020-03-13T16:18:07.324Z, 2802
4, -22.95569, -43.196388, 2020-03-13T16:19:07.356Z, 4595
5, -22.95536, -43.195789, 2020-03-13T16:20:07.375Z, 1846
6, -22.95443, -43.19286, 2020-03-13T16:21:07.406Z, 2188
7, -22.95307, -43.188931, 2020-03-13T16:22:37.427Z, 3844
8, -22.952959, -43.188622, 2020-03-13T16:23:07.436Z, 1815
9, -22.95188, -43.185631, 2020-03-13T16:24:07.467Z, 1774
10, -22.951389, -43.18454, 2020-03-13T16:25:07.494Z, 1431
11, -22.950991, -43.183281, 2020-03-13T16:26:07.506Z, 4717
12, -22.94981, -43.181419, 2020-03-13T16:27:07.515Z, 2036
13, -22.947599, -43.182129, 2020-03-13T16:28:07.531Z, 2128
14, -22.943529, -43.181141, 2020-03-13T16:29:07.548Z, 2154
