id, latitude, longitude, timestamp, executionTime
0, -22.8951, -43.256, 2020-03-13T16:15:26.274Z, 3071
1, -22.894, -43.2578, 2020-03-13T16:16:26.300Z, 2554
2, -22.8949, -43.2624, 2020-03-13T16:17:45.318Z, 4877
3, -22.8967, -43.2632, 2020-03-13T16:19:06.353Z, 2768
4, -22.899, -43.2636, 2020-03-13T16:19:25.369Z, 5189
5, -22.9007, -43.2666, 2020-03-13T16:20:25.383Z, 2951
6, -22.9018, -43.2692, 2020-03-13T16:21:25.409Z, 2948
7, -22.897, -43.2722, 2020-03-13T16:23:25.442Z, 841
8, -22.8964, -43.2726, 2020-03-13T16:24:25.476Z, 3958
9, -22.8926, -43.2767, 2020-03-13T16:25:53.504Z, 2499
10, -22.8921, -43.2775, 2020-03-13T16:26:24.511Z, 5068
11, -22.892, -43.2794, 2020-03-13T16:27:24.518Z, 4117
12, -22.8919, -43.2804, 2020-03-13T16:28:24.536Z, 3195
13, -22.8919, -43.2818, 2020-03-13T16:29:24.558Z, 2280
