attach,https://trinity.iota-tangle.io:14265 score: 117.56692162156105 scoreNorm: 0.8357431246967492
7229,0
2515,1
2919,2
1487,3
3087,4
2289,5
1316,6
2986,7
2242,8
2514,9
1354,10
522,11
934,12
1727,13
4223,14
2279,15
6668,16
3865,17
2177,18
2310,19
1855,20
2567,21
2082,22
1180,23
1932,24
1043,25
983,26
1614,27
2159,28
1559,29
4370,30
5385,31
1750,32
2558,33
2715,34
1996,35
2163,36
1125,37
1713,38
5799,39
2629,40
2103,41
2084,42
934,43
2304,44
