attach,https://perma.iota.partners:443 score: 42.55092687606811 scoreNorm: 0.30248001815185965
7181,0
7475,1
2034,2
4805,3
9518,4
3666,5
3194,6
3547,7
7347,8
2029,9
4151,10
5399,11
9039,12
7578,13
3495,14
7523,15
3587,16
3990,17
4715,18
10112,19
2433,20
5024,21
4895,22
5961,23
3610,24
1906,25
2164,26
10843,27
2616,28
5271,29
3873,30
6723,31
2507,32
4964,33
3042,34
4805,35
6926,36
9655,37
4744,38
2207,39
4002,40
1559,41
3085,42
2117,43
1854,44
