attach,https://node.vanityfive.de:443 score: 3.849130500857163 scoreNorm: 0.017092473849175314
649,60,0
499,81,1
491,59,2
407,80,3
531,65,4
517,64,5
1142,45,6
609,75,7
479,44,8
476,74,9
425,74,10
495,72,11
553,73,12
531,61,13
290,76,14
774,73,15
619,54,16
321,75,17
394,77,18
473,62,19
597,46,20
428,57,21
482,45,22
852,48,23
1035,56,24
479,68,25
644,45,26
725,66,27
281,67,28
238,49,29
419,61,30
625,81,31
270,47,32
452,79,33
430,67,34
638,81,35
464,67,36
427,61,37
810,79,38
466,69,39
763,48,40
512,60,41
536,78,42
