attach,https://perma.iota.partners:443 score: 9.21612289428711 scoreNorm: 0.0746538663112181
4347,0
12928,1
3531,2
2381,3
7377,4
9306,5
4568,6
6265,7
17469,8
6548,9
3471,10
5436,11
7068,12
4759,13
11084,14
6184,15
7472,16
5627,17
4036,18
7435,19
2548,20
12659,21
6831,22
4420,23
4361,24
4090,25
2357,26
9274,27
13228,28
1645,29
5216,30
4300,31
5040,32
1756,33
6884,34
3165,35
17112,36
11287,37
3094,38
6110,39
12374,40
5199,41
2213,42
2202,43
2159,44
