attach,https://wallet2.iota.town:443 score: 34.33514109849929 scoreNorm: 0.1430310235213472
202538,245785,0
191834,246702,1
-1,-1,3
-1,-1,2
-1,-1,8
-1,-1,7
-1,-1,6
-1,-1,5
428255,502816,4
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,11
515988,336209,9
383464,445619,10
568293,63430,15
402551,247949,16
-1,-1,21
-1,-1,20
-1,-1,19
-1,-1,18
288870,396378,17
-1,-1,25
-1,-1,26
-1,-1,24
-1,-1,23
374160,472364,22
585695,273075,27
533504,352702,28
444442,460374,29
302105,488673,30
-1,-1,34
-1,-1,33
240829,506193,31
189787,562371,32
256893,394855,35
205721,402614,36
80007,441866,38
143782,420843,37
323858,80935,40
263499,130801,41
166876,206573,42
323907,310,43
273552,1744,44
463466,110102,39
