attach,9PQTXBOGBXOXOSUYOFYDSQRUJ9FBSZRULLTSKWHXYUCVQIEWI9A9GDFVEFAYCXLUXQUPVGZGHWRYZRVHJ https://wallet1.iota.town:443 score: 0.7377516057593233
-1,1
-1,2
-1,3
-1,4
-1,8
-1,5
-1,10
-1,9
-1,12
-1,11
-1,6
532780,0
-1,13
-1,14
419139,7
-1,16
-1,15
-1,17
-1,18
-1,19
-1,21
-1,23
-1,25
-1,20
-1,27
-1,28
-1,30
-1,31
-1,32
-1,33
-1,34
-1,35
-1,26
-1,36
-1,37
644178,22
600209,24
-1,39
-1,40
-1,41
-1,29
-1,42
