attach,CAPZTQBGUYFOIOHSMTXJFITEFLDGU9YLMVSCLHBLQKHHEKQGNMQ9DULWGXOPNERQPJUTKQHEGPMMJWJHC https://iota1.chain.garden:443 score: 0.044860806035107025
9578,0
-1,5
-1,6
276030,1
-1,8
-1,7
-1,9
-1,4
-1,15
-1,11
-1,16
-1,10
613819,2
-1,12
703046,3
-1,19
379451,14
-1,21
-1,17
-1,22
-1,23
555915,13
-1,20
-1,25
469217,18
-1,26
-1,27
-1,28
-1,29
-1,24
-1,30
-1,32
-1,33
-1,35
-1,36
-1,37
-1,38
-1,39
-1,41
651337,31
