attach,https://iota1.chain.garden:443 score: 12.220561404715749 scoreNorm: 0.09023412168375736
22442,0
31619,1
23939,2
15068,3
8755,4
10293,5
26276,6
7970,7
45842,8
12110,9
20439,10
23946,11
16843,12
15785,13
9707,14
11838,15
20562,16
8567,17
42750,18
28918,19
10826,20
10482,21
5765,22
31419,23
45973,24
64899,25
38561,26
17032,27
10829,28
18821,29
5795,30
38759,31
2743,32
2530,33
11720,34
22276,35
35720,36
14899,37
10086,38
15198,39
100944,40
56128,41
13214,42
41480,43
31792,44
