attach,https://django.zapto.org:14267 score: 11.19789626375251 scoreNorm: 0.0826829718048488
136149,0
219643,2
145074,3
340042,1
220985,4
-1,6
-1,5
-1,7
-1,8
346449,9
315361,10
305365,11
-1,12
283126,14
446689,15
-1,17
-1,16
-1,13
-1,18
435864,19
463274,20
-1,23
-1,22
-1,21
-1,25
-1,24
-1,26
-1,27
-1,28
-1,33
-1,32
-1,31
-1,30
-1,29
-1,38
-1,37
-1,36
-1,35
-1,34
-1,43
-1,42
-1,41
-1,40
-1,39
-1,44
